# Jt   I(t)
2.000000000000000042e-02 7.869216934324193375e-04
4.000000000000000083e-02 3.218853399775642096e-03
5.999999999999999778e-02 7.275745369759244185e-03
8.000000000000000167e-02 1.296312217699634173e-02
1.000000000000000056e-01 2.028875003139534589e-02
1.199999999999999956e-01 2.926266866970816602e-02
1.400000000000000133e-01 3.989723246491053144e-02
1.600000000000000033e-01 5.220716081216186105e-02
1.799999999999999933e-01 6.620959783444790858e-02
2.000000000000000111e-01 8.192418141643088847e-02
2.200000000000000011e-01 9.937312151346297528e-02
2.399999999999999911e-01 1.185812875848405723e-01
2.600000000000000089e-01 1.395763048539636619e-01
2.800000000000000266e-01 1.623886588869252190e-01
2.999999999999999889e-01 1.870518076836852062e-01
3.200000000000000067e-01 2.136023000638803682e-01
3.400000000000000244e-01 2.420798985644592449e-01
3.599999999999999867e-01 2.725277042980394637e-01
3.800000000000000044e-01 3.049922801814566320e-01
4.000000000000000222e-01 3.395237675428253166e-01
4.199999999999999845e-01 3.761759892310944098e-01
4.400000000000000022e-01 4.150065298216211729e-01
4.600000000000000200e-01 4.560767801156657697e-01
4.799999999999999822e-01 4.994519285764698058e-01
5.000000000000000000e-01 5.452008762337031689e-01
5.200000000000000178e-01 5.933960433893290531e-01
5.400000000000000355e-01 6.441130254575818670e-01
5.600000000000000533e-01 6.974300405159137295e-01
5.799999999999999600e-01 7.534270913654902424e-01
5.999999999999999778e-01 8.121847384324368813e-01
6.199999999999999956e-01 8.737823445244238263e-01
6.400000000000000133e-01 9.382956055560580655e-01
6.600000000000000311e-01 1.005793119534355240e+00
6.800000000000000488e-01 1.076331665535104287e+00
7.000000000000000666e-01 1.149949761249249969e+00
7.199999999999999734e-01 1.226658939146782812e+00
7.399999999999999911e-01 1.306432028007223023e+00
7.600000000000000089e-01 1.389187557065424627e+00
7.800000000000000266e-01 1.474769239085038430e+00
8.000000000000000444e-01 1.562919391195401353e+00
8.200000000000000622e-01 1.653245224795563351e+00
8.399999999999999689e-01 1.745177364930573516e+00
8.599999999999999867e-01 1.837921040083419166e+00
8.800000000000000044e-01 1.930402519790566540e+00
9.000000000000000222e-01 2.021217001286851112e+00
9.200000000000000400e-01 2.108589451326372544e+00
9.400000000000000577e-01 2.190366306394423201e+00
9.599999999999999645e-01 2.264061273870997759e+00
9.799999999999999822e-01 2.326978517628180310e+00
1.000000000000000000e+00 2.376425759496580081e+00
1.020000000000000018e+00 2.410004961099940335e+00
1.040000000000000036e+00 2.425933577612024550e+00
1.060000000000000053e+00 2.423319954061743164e+00
1.080000000000000071e+00 2.402312484191896136e+00
1.100000000000000089e+00 2.364074265957027521e+00
1.120000000000000107e+00 2.310591670173926193e+00
1.140000000000000124e+00 2.244377506520537580e+00
1.159999999999999920e+00 2.168151589329106788e+00
1.179999999999999938e+00 2.084568617786270117e+00
1.199999999999999956e+00 1.996030357348459239e+00
1.219999999999999973e+00 1.904586119299898739e+00
1.239999999999999991e+00 1.811904620583950409e+00
1.260000000000000009e+00 1.719293099981430872e+00
1.280000000000000027e+00 1.627741631000266143e+00
1.300000000000000044e+00 1.537976543774958627e+00
1.320000000000000062e+00 1.450513093901443229e+00
1.340000000000000080e+00 1.365702362442816842e+00
1.360000000000000098e+00 1.283770541099411577e+00
1.380000000000000115e+00 1.204850551813533732e+00
1.400000000000000133e+00 1.129006811467604399e+00
1.419999999999999929e+00 1.056254256814625148e+00
1.439999999999999947e+00 9.865727548228263588e-01
1.459999999999999964e+00 9.199179003159407841e-01
1.479999999999999982e+00 8.562290355426844801e-01
1.500000000000000000e+00 7.954351597503047655e-01
1.520000000000000018e+00 7.374592500724401756e-01
1.540000000000000036e+00 6.822213937678845985e-01
1.560000000000000053e+00 6.296410353832229134e-01
1.580000000000000071e+00 5.796385675033346452e-01
1.600000000000000089e+00 5.321364364819993753e-01
1.620000000000000107e+00 4.870598912013464066e-01
1.640000000000000124e+00 4.443374703221463218e-01
1.660000000000000142e+00 4.039012990890569199e-01
1.679999999999999938e+00 3.656872485333320655e-01
1.699999999999999956e+00 3.296349963249285420e-01
1.719999999999999973e+00 2.956880183953621288e-01
